"","oversampling_altorithm","classifier","kFold","undersamplingFactor","kSMOTE","nRatioSMOTE","AUCAverage"
"1","smote","xgboost","5","0","6","0.9","0.93339409"
"2","smote","xgboost","5","0","11","1.04","0.940532556"
"3","smote","xgboost","5","0","9","1.13","0.93295814"
"4","smote","xgboost","5","0","5","0.96","0.93603435"
"5","smote","xgboost","5","0","5","1.14","0.93147875"
"6","smote","xgboost","5","0","11","1.19","0.933899273"
"7","smote","xgboost","5","0","9","1.06","0.93445836"
"8","smote","xgboost","5","0","13","0.92","0.936141338"
"9","smote","xgboost","5","0","7","1.04","0.930508289"
"10","smote","xgboost","5","0","11","1.12","0.938888899"
"11","smote","xgboost","5","0","11","1.01","0.938546834"
"12","smote","xgboost","5","0","7","1.08","0.936783482"
"13","smote","xgboost","5","0","5","0.89","0.937557051"
"14","smote","xgboost","5","0","7","0.93","0.936564608"
"15","smote","xgboost","5","0","8","1.01","0.9351396"
"16","smote","xgboost","5","0","13","1.17","0.935951229"
"17","smote","xgboost","5","0","10","0.89","0.934868205"
"18","smote","xgboost","5","0","13","0.92","0.933585197"
"19","smote","xgboost","5","0","7","1.11","0.934627013"
"20","smote","xgboost","5","0","15","1.18","0.941762921"
"21","smote","xgboost","5","0","4","0.87","0.93477659"
"22","smote","xgboost","5","0","3","1.11","0.931136983"
"23","smote","xgboost","5","0","5","1.02","0.932176342"
"24","smote","xgboost","5","0","12","0.9","0.937327189"
"25","smote","xgboost","5","0","15","1.1","0.929029027"
"26","smote","xgboost","3","0","8","1.51","0.932324929"
"27","smote","xgboost","3","0","8","1.31","0.93188516"
"28","smote","xgboost","3","0","1","1.02","0.926249821"
"29","smote","xgboost","4","0","7","0.01","0.909228329"
"30","smote","xgboost","4","0","2","0.05","0.920658788"
"31","smote","xgboost","4","0","4","0.03","0.919126849"
"32","smote","xgboost","4","0","8","0.03","0.909361191"
"33","smote","xgboost","4","0","2","0.02","0.911047104"
"34","smote","xgboost","4","0","1","0.01","0.906729939"
"35","smote","xgboost","4","0","7","0.01","0.910239507"
"36","smote","xgboost","4","0","6","0.03","0.91537769"
"37","smote","xgboost","4","0","51","0.91","0.941405312"
"38","smote","xgboost","4","0","11","1","0.935272722"
"39","smote","xgboost","4","0","6","1","0.934324169"
"40","smote","xgboost","4","0","8","0.99","0.932761695"
"41","smote","xgboost","4","0","8","1","0.934030445"
"42","smote","xgboost","4","0","13","1","0.935136572"
"43","smote","xgboost","4","0","3","1","0.925589253"
"44","smote","xgboost","4","0","13","1.03","0.935859656"
"45","smote","xgboost","4","0","7","1.02","0.933303933"
"46","smote","xgboost","4","0","14","0.97","0.939912188"
"47","smote","xgboost","4","0","2","0.99","0.930245175"
"48","smote","xgboost","4","0","7","1.01","0.934147634"
"49","smote","xgboost","4","0","6","0.95","0.932246405"
"50","smote","xgboost","4","0","1","1.2","0.935136503"
"51","smote","xgboost","4","0","29","0.97","0.937031252"
"52","smote","xgboost","4","0","48","1.16","0.936841333"
"53","smote","xgboost","4","0","7","1.17","0.929227797"
"54","smote","xgboost","4","0","42","1.2","0.935646607"
"55","smote","xgboost","4","0","30","0.76","0.935386272"
"56","smote","xgboost","4","0","26","0.82","0.936510366"
"57","smote","xgboost","4","0","6","1.3","0.934103758"
"58","smote","xgboost","4","0","5","0.79","0.931653985"
"59","smote","xgboost","4","0","16","1.29","0.933148902"
"60","smote","xgboost","4","0","35","0.93","0.941221274"
"61","smote","xgboost","4","0","44","1.25","0.933638983"
"62","smote","xgboost","4","0","16","1.14","0.9364887"
"63","smote","xgboost","4","0","43","1.21","0.934831273"
"64","smote","xgboost","4","0","47","1.14","0.939315712"
"65","smote","xgboost","4","0","44","1.15","0.937100708"
"66","smote","xgboost","4","0","9","0.76","0.931634091"
"67","smote","xgboost","4","0","14","1.06","0.936561617"
"68","smote","xgboost","4","0","15","1.27","0.934935626"
"69","smote","xgboost","4","0","45","1.19","0.940664097"
"70","smote","xgboost","4","0","41","1.16","0.935300575"
"71","smote","xgboost","4","0","34","0.9","0.935877023"
"72","smote","xgboost","4","0","42","1.23","0.929870704"
"73","smote","xgboost","4","0","13","1.17","0.940467223"
"74","smote","xgboost","4","0","44","0.98","0.940189874"
"75","smote","xgboost","4","0","23","1.1","0.93304122"
"76","smote","xgboost","4","0","33","1.28","0.932234694"
"77","smote","xgboost","4","0","16","1.15","0.936768409"
"78","smote","xgboost","4","0","15","1.15","0.936497856"
"79","smote","xgboost","4","0","20","1.11","0.934323668"
"80","smote","xgboost","4","0","9","0.75","0.931702286"
"81","smote","xgboost","4","0","37","1.07","0.934649816"
"82","smote","xgboost","4","0","14","0.82","0.934483289"
"83","smote","xgboost","4","0","12","0.79","0.938738304"
"84","smote","xgboost","4","0","38","0.94","0.938815872"
"85","smote","xgboost","4","0","28","0.98","0.938115768"
"86","smote","xgboost","4","0","21","1.17","0.934412552"
"87","smote","xgboost","4","0","40","1.04","0.937369934"
"88","smote","xgboost","4","0","25","0.82","0.936154051"
"89","smote","xgboost","4","0","14","1.03","0.93446838"
"90","smote","xgboost","4","0","35","0.77","0.934535634"
"91","smote","xgboost","4","0","22","1.2","0.934922078"
"92","smote","xgboost","4","0","17","0.89","0.936050667"
"93","smote","xgboost","4","0","37","0.92","0.932332429"
"94","smote","xgboost","4","0","3","0.75","0.934154778"
"95","smote","xgboost","4","0","21","1.24","0.936436338"
"96","smote","xgboost","4","0","48","1.13","0.939058537"
"97","smote","xgboost","4","0","38","1.12","0.94399987"
"98","smote","xgboost","4","0","82","1.02","0.938564537"
"99","smote","xgboost","4","0","89","0.98","0.930754978"
"100","smote","xgboost","4","0","266","1","0.932292324"
"101","smote","xgboost","4","0","249","1","0.93083306"
"102","smote","xgboost","4","0","173","0.98","0.930185517"
"103","smote","xgboost","4","0","282","1.01","0.931821688"
"104","smote","xgboost","4","0","252","0.98","0.934420328"
"105","smote","xgboost","4","0","150","0.98","0.933801272"
"106","smote","xgboost","4","0","197","1.01","0.931282201"
"107","smote","xgboost","4","0","14","0.53","0.933943867"
"108","smote","xgboost","4","0","156","0.57","0.936874893"
"109","smote","xgboost","4","0","85","1.15","0.937566293"
"110","smote","xgboost","3","0","263","0.68","0.930174217606116"
"111","smote","xgboost","4","0.95","39","1","0.942498197942524"
"112","smote","xgboost","4","0.95","45","1","0.941449597632798"
"113","smote","xgboost","4","0.95","16","1","0.937302532195897"
"114","smote","xgboost","4","0.95","25","1","0.940877554417743"
"115","smote","xgboost","4","0.95","21","1","0.941884207220849"
"116","smote","xgboost","4","0.95","45","1","0.941449597632798"
"117","smote","xgboost","3","0.99","32","1","0.937697581249934"
"118","smote","xgboost","3","0.99","39","1","0.940105266846462"
"119","smote","xgboost","4","0.99","43","1","0.938374308736979"
"120","smote","xgboost","4","0.99","32","1","0.936667291741921"
"121","smote","xgboost","4","0.99","36","1","0.940660567557857"
"122","smote","xgboost","4","0.99","7","1","0.943214344601981"
"123","smote","xgboost","4","0.99","13","1","0.938531480155922"
"124","smote","xgboost","4","0.99","13","1","0.944667676721385"
"125","smote","xgboost","4","0.99","42","1","0.942232367351755"
"126","smote","xgboost","4","0.99","27","1","0.941833387137401"
"127","smote","xgboost","4","0.99","23","1","0.94263957419638"
"128","smote","xgboost","4","0.99","29","1","0.939944619004238"
"129","smote","xgboost","4","0.99","43","1","0.943175523900021"
"130","smote","xgboost","4","0.99","48","1","0.946451179673751"
"131","smote","xgboost","4","0.95","38","1.12","0.935968262386596"
"132","smote","xgboost","4","0.96","38","0.64","0.941591808215404"
"133","smote","xgboost","4","0.97","38","0.37","0.937690574897147"
"134","smote","xgboost","4","0.96","38","0.28","0.937347019885065"
"135","smote","xgboost","4","0.99","38","0.99","0.942473177607239"
"136","smote","xgboost","4","0.99","38","0.77","0.946212209189801"
"137","smote","xgboost","4","0.81","38","1.22","0.941073716216289"
"138","smote","xgboost","4","0.5","76","1","0.930723716991788"
"139","smote","xgboost","4","0.31","14","1","0.937013481017841"
"140","smote","xgboost","4","0.26","81","1","0.935555422282282"
"141","smote","xgboost","4","0.99","34","1","0.943808569106645"
"142","smote","xgboost","4","0.76","15","1","0.940790980974855"
"143","smote","xgboost","4","0.12","51","1","0.931157086828885"
"144","smote","xgboost","4","0.1","13","1","0.935849285161529"
"145","smote","xgboost","4","0.8","37","1","0.938030810275867"
"146","smote","xgboost","4","0.14","17","1","0.938832143521231"
"147","smote","xgboost","4","0.69","37","1","0.935752297672637"
"148","smote","xgboost","4","0.21","81","1","0.934760891487055"
"149","smote","xgboost","4","0.6","56","1","0.936248903156626"
"150","smote","xgboost","4","0.71","65","1","0.940100604501028"
"151","smote","xgboost","4","0.61","26","1","0.93720062124077"
"152","smote","xgboost","4","0.96","38","1","0.940596801141491"
"153","smote","xgboost","4","0.34","46","1","0.938480555469117"
"154","smote","xgboost","4","0.35","38","1","0.934823796252074"
"155","smote","xgboost","4","0.88","42","1","0.938786890233748"
"156","smote","xgboost","4","0.91","62","1","0.9428198584537"
"157","smote","xgboost","4","0.66","75","1","0.940403712482139"
"158","smote","xgboost","4","0.84","43","1","0.93761201707637"
"159","smote","xgboost","4","0.34","79","1","0.939541072689251"
"160","smote","xgboost","4","0.75","44","1","0.934978792572329"
"161","smote","xgboost","4","0.14","62","1","0.939075804139548"
"162","smote","xgboost","4","0.93","49","1","0.940956804995474"
"163","smote","xgboost","4","0.24","19","1","0.935410226942991"
"164","smote","xgboost","4","0.15","64","1","0.939271739803102"
"165","smote","xgboost","4","0.21","34","1","0.935343713038037"
"166","smote","xgboost","4","0.95","21","1","0.940352289783963"
"167","smote","xgboost","4","0.86","21","1","0.935030530915821"
"168","smote","xgboost","4","0.19","62","1","0.93814326267065"
"169","smote","xgboost","4","0.14","78","1","0.935016753555601"
"170","smote","xgboost","4","0.29","33","1","0.936801968721038"
"171","smote","xgboost","4","0.43","32","1","0.938513820183309"
"172","smote","xgboost","4","0.3","37","1","0.933736048334222"
"173","smote","xgboost","4","0.68","25","1","0.937100082781164"
"174","smote","xgboost","4","0.94","77","1","0.936869391099303"
"175","smote","xgboost","4","0.86","41","1","0.938590514706364"
"176","smote","xgboost","4","0.17","67","1","0.932125496436582"
"177","smote","xgboost","4","0.1","35","1","0.939767677887148"
"178","smote","xgboost","4","0.98","27","1","0.938629056969235"
"179","smote","xgboost","4","0.95","63","1","0.939830919564989"
"180","smote","xgboost","4","0.65","41","1","0.942779736491303"
"181","smote","xgboost","4","0.02","60","1","0.942078168177247"
"182","smote","xgboost","4","0.73","62","1","0.933485618790841"
"183","smote","xgboost","4","0.5","43","1","0.933816078152181"
"184","smote","xgboost","4","0.52","48","1","0.937167148197769"
"185","smote","xgboost","4","0.05","47","1","0.939036292078517"
"186","smote","xgboost","4","0.09","31","1","0.938975487721711"
"187","smote","xgboost","4","0.71","43","1","0.938249443217839"
"188","smote","xgboost","4","0.89","59","1","0.941774200511188"
"189","smote","xgboost","4","0.15","84","1","0.936393465866425"
"190","smote","xgboost","4","0.81","36","1","0.938953863840124"
"191","smote","xgboost","4","0.19","82","1","0.940086490555614"
"192","smote","xgboost","4","0.07","25","1","0.933207612127384"
"193","smote","xgboost","4","0.69","42","1","0.934837845845769"
"194","smote","xgboost","4","0.67","79","1","0.939379404115925"
"195","smote","xgboost","4","0.1","47","1","0.933832962463667"
"196","smote","xgboost","4","0.75","42","1","0.939184324203198"
"197","smote","xgboost","4","0.75","66","1","0.9328212916633"
"198","smote","xgboost","4","0.9","83","1","0.942292790201826"
"199","smote","xgboost","10","0.94","29","1","0.940394915687102"
"200","smote","xgboost","10","0.81","82","1","0.943192227195122"
"201","smote","xgboost","10","0.9","30","1.1","0.940055742120886"
"202","smote","xgboost","10","0.95","3","1","0.942360361226872"
"203","smote","xgboost","10","0.8","55","1.1","0.94281852597591"
"204","smote","xgboost","10","0.75","10","1.1","0.939230507834586"
"205","smote","xgboost","10","0.99","35","1","0.942861466218309"
"206","smote","xgboost","10","0.9","6","1.1","0.939091612060056"
"207","smote","xgboost","10","0.85","10","1","0.93675584518199"
"208","smote","xgboost","10","0.8","70","1.1","0.94443641565183"
"209","smote","xgboost","10","0.85","55","0.9","0.939028424379682"
"210","smote","xgboost","10","0.75","22","1.1","0.936292813208745"
"211","smote","xgboost","10","0.8","5","1.1","0.939572768047078"
"212","smote","xgboost","10","0.9","45","1.1","0.937787426682239"
"213","smote","xgboost","10","0.75","3","1","0.939148133486903"
"214","smote","xgboost","10","0.75","22","0.9","0.931251882991682"
"215","smote","xgboost","10","0.99","10","1.1","0.939402739617602"
"216","smote","xgboost","10","0.85","55","1.1","0.936132819318754"
"217","smote","xgboost","10","0.9","65","1.1","0.940637113051141"
"218","smote","xgboost","10","0.99","45","1","0.941217155760991"
"219","smote","xgboost","10","0.9","24","1","0.940976679344286"
"220","smote","xgboost","10","0.99","30","0.9","0.941697044236486"
"221","smote","xgboost","10","0.8","3","1.1","0.935214880859652"
"222","smote","xgboost","10","0.85","16","1","0.941000802466413"
"223","smote","xgboost","10","0.99","10","0.9","0.945712422160658"
"224","smote","xgboost","10","0.85","70","1.1","0.93719141477355"
"225","smote","xgboost","10","0.8","9","1.1","0.94089470177491"
"226","smote","xgboost","10","0.8","35","1.1","0.941248943226498"
"227","smote","xgboost","10","0.75","5","1","0.934965265435373"
"228","smote","xgboost","10","0.95","7","1.1","0.946051978765816"
"229","smote","xgboost","10","0.75","10","0.9","0.937317893893094"
"230","smote","xgboost","10","0.95","10","0.9","0.941182870549039"
"231","smote","xgboost","10","0.85","12","1.1","0.934244149462677"
"232","smote","xgboost","10","0.75","60","1","0.938884756504472"
"233","smote","xgboost","10","0.95","30","1.1","0.94368586399437"
"234","smote","xgboost","10","0.95","7","0.9","0.938480877562586"
"235","smote","xgboost","10","0.8","20","1","0.941189254083971"
"236","smote","xgboost","10","0.99","8","0.9","0.942790728720455"
"237","smote","xgboost","10","0.75","24","1","0.933020306869666"
"238","smote","xgboost","10","0.8","14","0.9","0.940057539274327"
"239","smote","xgboost","10","0.95","20","0.9","0.93828589618624"
"240","smote","xgboost","10","0.9","6","1","0.936295301507349"
"241","smote","xgboost","10","0.99","5","1.1","0.94587098512013"
"242","smote","xgboost","10","0.85","70","1","0.940175363082742"
"243","smote","xgboost","10","0.85","3","1.1","0.936422712895092"
"244","smote","xgboost","10","0.9","20","0.9","0.938882668468593"
"245","smote","xgboost","10","0.8","20","1.1","0.937037471521155"
"246","smote","xgboost","10","0.85","12","1","0.941270690984345"
"247","smote","xgboost","10","0.85","16","0.9","0.938933338878509"
"248","smote","xgboost","10","0.95","4","1","0.940708719074484"
"249","smote","xgboost","10","0.8","45","1","0.93900617662067"
"250","smote","xgboost","10","0.75","6","1.1","0.939323717501429"
"251","smote","xgboost","10","0.8","60","1","0.940808612604599"
"252","smote","xgboost","10","0.9","5","1","0.93503227997814"
"253","smote","xgboost","10","0.75","6","0.9","0.934703651280247"
"254","smote","xgboost","10","0.9","3","1.1","0.939572703717334"
"255","smote","xgboost","10","0.85","70","1","0.937210359948119"
"256","smote","xgboost","10","0.8","3","0.9","0.937721120407675"
"257","smote","xgboost","10","0.9","7","1","0.941405246934509"
"258","smote","xgboost","10","0.95","6","0.9","0.940240877476253"
"259","smote","xgboost","10","0.99","60","1.1","0.944884643498555"
"260","smote","xgboost","10","0.99","3","1","0.943795183705096"
"261","smote","xgboost","10","0.8","22","1","0.93744055831027"
"262","smote","xgboost","10","0.9","7","1.1","0.936351170902555"
"263","smote","xgboost","10","0.8","45","1.1","0.939556781131296"
"264","smote","xgboost","10","0.99","4","1","0.943044145095118"
"265","smote","xgboost","10","0.99","8","1.1","0.936825414145451"
"266","smote","xgboost","10","0.85","40","1.1","0.941872432491061"
"267","smote","xgboost","10","0.85","7","0.9","0.937400772623093"
"268","smote","xgboost","10","0.99","55","1","0.948352118197836"
"269","smote","xgboost","10","0.95","24","1.1","0.939934994901274"
"270","smote","xgboost","10","0.9","50","1.1","0.938692314711803"
"271","smote","xgboost","10","0.8","20","1.1","0.937045531565594"
"272","smote","xgboost","10","0.99","16","1","0.940420868818151"
"273","smote","xgboost","10","0.75","65","1","0.942951468892483"
"274","smote","xgboost","10","0.99","2","0.9","0.940120772977556"
"275","smote","xgboost","10","0.8","50","1","0.936037281164799"
"276","smote","xgboost","10","0.99","6","1","0.940849342584604"
"277","smote","xgboost","10","0.75","24","0.9","0.943829613133463"
"278","smote","xgboost","10","0.8","2","1.1","0.931896936092957"
"279","smote","xgboost","10","0.9","10","1","0.942040915969567"
"280","smote","xgboost","10","0.9","7","0.9","0.936906695739998"
"281","smote","xgboost","10","0.9","50","1","0.939757371927171"
"282","smote","xgboost","10","0.75","5","0.9","0.935721987077992"
"283","smote","xgboost","10","0.9","30","1.1","0.94349788027571"
"284","smote","xgboost","10","0.9","65","1.1","0.937502696722464"
"285","smote","xgboost","10","0.9","24","0.9","0.941499712210801"
"286","smote","xgboost","10","0.99","9","1","0.943142370358072"
"287","smote","xgboost","10","0.95","60","0.9","0.941682347161193"
"288","smote","xgboost","10","0.95","45","1","0.937637260555855"
"289","smote","xgboost","10","0.9","3","1.1","0.9382532828259"
"290","smote","xgboost","10","0.8","45","1.1","0.938455083623779"
"291","smote","xgboost","10","0.8","4","1","0.93690302817008"
"292","smote","xgboost","10","0.8","6","1.1","0.94134512675169"
"293","smote","xgboost","10","0.95","40","1","0.940506583613645"
"294","smote","xgboost","10","0.9","2","0.9","0.938963845593468"
"295","smote","xgboost","10","0.99","20","0.9","0.942885056074597"
"296","smote","xgboost","10","0.8","45","0.9","0.935185590573861"
"297","smote","xgboost","10","0.8","65","0.9","0.940518210908002"
"298","smote","xgboost","10","0.8","4","1","0.938411549076878"
"299","smote","xgboost","10","0.85","70","1","0.93797111104866"
"300","smote","xgboost","10","0.8","9","1","0.939046793817219"
"301","smote","xgboost","10","0.9","5","1.1","0.935760214494443"
"302","smote","xgboost","10","0.8","60","0.9","0.938210550727684"
"303","smote","xgboost","10","0.99","6","1.1","0.939612652872351"
"304","smote","xgboost","10","0.9","45","1","0.938790761121128"
"305","smote","xgboost","10","0.75","16","1.1","0.933260725904688"
"306","smote","xgboost","10","0.9","35","0.9","0.93995810428603"
"307","smote","xgboost","10","0.75","10","1.1","0.93755590322595"
"308","smote","xgboost","10","0.95","20","1.1","0.941760214503888"
"309","smote","xgboost","10","0.99","9","1","0.941804045580837"
"310","smote","xgboost","10","0.95","50","1","0.939616417531038"
"311","smote","xgboost","10","0.75","40","1","0.938472267228188"
"312","smote","xgboost","10","0.75","6","0.9","0.940372928390747"
"313","smote","xgboost","10","0.99","18","0.9","0.944230586278006"
"314","smote","xgboost","10","0.99","35","1.1","0.942618249408873"
"315","smote","xgboost","10","0.99","30","0.9","0.941637085196701"
"316","smote","xgboost","10","0.95","6","1","0.938655082399662"
"317","smote","xgboost","10","0.85","7","0.9","0.93377998459904"
"318","smote","xgboost","10","0.75","35","0.9","0.936023752023622"
"319","smote","xgboost","10","0.95","55","0.9","0.945090598785403"
"320","smote","xgboost","10","0.99","14","1.1","0.93747593653199"
"321","smote","xgboost","10","0.75","40","0.9","0.939322533632608"
"322","smote","xgboost","10","0.9","35","1.1","0.940992032930631"
"323","smote","xgboost","10","0.85","16","0.9","0.93492149332764"
"324","smote","xgboost","10","0.85","16","1","0.93349420122979"
"325","smote","xgboost","10","0.95","55","0.9","0.941859945999276"
"326","smote","xgboost","10","0.75","70","1.1","0.938456330039837"
"327","smote","xgboost","10","0.85","8","1.1","0.938245302309515"
"328","smote","xgboost","10","0.95","7","0.9","0.942278969372581"
"329","smote","xgboost","10","0.75","70","0.9","0.936487477046416"
"330","smote","xgboost","10","0.95","4","0.9","0.938083543235123"
"331","smote","xgboost","10","0.85","50","0.9","0.934776074622729"
"332","smote","xgboost","10","0.85","24","0.9","0.936975079236158"
"333","smote","xgboost","10","0.99","22","1","0.940675219603809"
"334","smote","xgboost","10","0.8","9","0.9","0.934258005405616"
"335","smote","xgboost","10","0.75","5","1.1","0.94212122383161"
"336","smote","xgboost","10","0.9","16","1","0.944150128589917"
"337","smote","xgboost","10","0.8","20","0.9","0.934194928046785"
"338","smote","xgboost","10","0.99","12","0.9","0.945593192803765"
"339","smote","xgboost","10","0.75","22","1.1","0.93855183349053"
"340","smote","xgboost","10","0.8","20","1.1","0.937552866497707"
"341","smote","xgboost","10","0.95","12","0.9","0.941193841152823"
"342","smote","xgboost","10","0.9","4","0.9","0.938252729042107"
"343","smote","xgboost","10","0.85","35","1","0.938038463860903"
"344","smote","xgboost","10","0.75","9","1","0.940683327496416"
"345","smote","xgboost","10","0.99","35","1","0.942768838665583"
"346","smote","xgboost","10","0.85","9","0.9","0.935699706052019"
"347","smote","xgboost","10","0.8","70","0.9","0.933564440924039"
"348","smote","xgboost","10","0.95","8","0.9","0.938681371452208"
"349","smote","xgboost","10","0.99","18","1.1","0.946553655778617"
"350","smote","xgboost","10","0.8","6","0.9","0.935334987349922"
"351","smote","xgboost","10","0.99","22","0.9","0.946367389234605"
"352","smote","xgboost","10","0.99","14","1.1","0.944387705437711"
"353","smote","xgboost","10","0.8","65","0.9","0.938408884132874"
"354","smote","xgboost","10","0.99","2","1","0.937208758096909"
"355","smote","xgboost","10","0.85","24","1","0.93720204025222"
"356","smote","xgboost","10","0.75","30","0.9","0.939881369065081"
"357","smote","xgboost","10","0.75","3","1.1","0.937353723619129"
"358","smote","xgboost","10","0.85","55","1","0.939955905174247"
"359","smote","xgboost","10","0.8","30","0.9","0.939374201214858"
"360","smote","xgboost","10","0.95","50","0.9","0.942977516023615"
"361","smote","xgboost","10","0.75","16","1.1","0.938794504042426"
"362","smote","xgboost","10","0.99","55","1","0.93754016075445"
"363","smote","xgboost","10","0.9","24","1.1","0.938137722919953"
"364","smote","xgboost","10","0.8","9","1.1","0.935222803148082"
"365","smote","xgboost","10","0.85","8","0.9","0.935819449613096"
"366","smote","xgboost","3","0.75","55","1","0.93089743886069"
"367","smote","xgboost","3","0.95","60","1.1","0.943522696396251"
"368","smote","xgboost","3","0.99","12","0.9","0.943200548421434"
"369","smote","xgboost","3","0.99","20","1","0.940731203388277"
"370","smote","xgboost","3","0.99","12","1.1","0.94050110682621"
"371","smote","xgboost","3","0.99","45","1.1","0.937242235967169"
"372","smote","xgboost","3","0.99","20","0.9","0.94035782310387"
"373","smote","xgboost","3","0.99","24","1","0.942352936216144"
"374","smote","xgboost","3","0.99","70","0.9","0.941229608315038"
"375","smote","xgboost","3","0.99","60","1","0.944428717620337"
"376","smote","xgboost","3","0.99","20","1.1","0.946893356167964"
"377","smote","xgboost","3","0.99","10","1","0.944528607523196"
"378","smote","xgboost","3","0.99","10","1","0.940774737330537"
"379","smote","xgboost","3","0.99","10","1","0.943672001128612"
"380","smote","xgboost","3","0.99","10","1","0.945349068118065"
"381","smote","xgboost","3","0.99","10","1","0.940774737330537"
"382","asn","xgboost","3","0.99","10","1","0.938100625585704"
"383","asn","xgboost","3","0.99","10","1","0.941462076136737"
"384","asn","xgboost","3","0.99","10","1","0.933749192692499"
"385","asn","xgboost","3","0.99","10","1","0.93701692067585"
"386","asn","logistic_regression","3","0.99","10","1","0.926191063075807"
"387","asn","logistic_regression","3","0.99","10","1","0.934850786246423"
"388","asn","logistic_regression","3","0.99","10","1","0.922411973465953"
"389","smote","logistic_regression","3","0.99","10","1","0.944230467264687"
"390","smote","logistic_regression","3","0.99","10","1","0.936536888950021"
"391","smote","logistic_regression","3","0.99","10","1","0.941890342513917"
"392","smote","xgboost","10","0.9","50","0.9","0.93544485955418"
"393","smote","logistic_regression","3","0.99","35","1","0.94046271461442"
"394","smote","logistic_regression","3","0.99","22","1","0.939793749524951"
